Date,Hours,SE1,SE2,SE3,SE4,SE,TotalPowerProduction,Date,Tid (UTC),Lufttemperatur
2015-02-23,06 - 07,1371.0,2060.0,12046.0,3406.0,18884.0,20158.0,2015-02-23,06:00:00,1.5
2015-02-23,18 - 19,1436.0,2502.0,13706.0,4114.0,21759.0,22310.0,2015-02-23,18:00:00,1.5
2015-02-24,06 - 07,1092.0,2224.0,11819.0,3463.0,18597.0,20463.0,2015-02-24,06:00:00,2.0
2015-02-24,18 - 19,1300.0,2446.0,12990.0,3763.0,20500.0,21758.0,2015-02-24,18:00:00,2.1
2015-02-25,06 - 07,1167.0,2341.0,10631.0,3309.0,17448.0,20370.0,2015-02-25,06:00:00,2.9
2015-02-25,18 - 19,1443.0,2255.0,12849.0,3754.0,20301.0,21264.0,2015-02-25,18:00:00,2.8
2015-02-26,06 - 07,1094.0,2018.0,11723.0,3486.0,18321.0,19880.0,2015-02-26,06:00:00,0.0
2015-02-26,18 - 19,1146.0,2271.0,13035.0,3730.0,20182.0,22298.0,2015-02-26,18:00:00,1.1
2015-02-27,06 - 07,983.0,2171.0,11733.0,3478.0,18365.0,22342.0,2015-02-27,06:00:00,1.6
2015-02-27,18 - 19,1195.0,2393.0,12780.0,3633.0,20002.0,21654.0,2015-02-27,18:00:00,2.6
2015-02-28,06 - 07,1011.0,1948.0,10046.0,2759.0,15764.0,17274.0,2015-02-28,06:00:00,2.0
2015-02-28,18 - 19,1174.0,2208.0,11976.0,3291.0,18649.0,20717.0,2015-02-28,18:00:00,1.4
2015-03-01,06 - 07,1076.0,1918.0,10077.0,2805.0,15876.0,16416.0,2015-03-01,06:00:00,0.9
2015-03-01,18 - 19,1360.0,2258.0,12259.0,3548.0,19425.0,21225.0,2015-03-01,18:00:00,2.2
2015-03-02,06 - 07,1192.0,2276.0,11420.0,3370.0,18259.0,19113.0,2015-03-02,06:00:00,3.3
2015-03-02,18 - 19,1139.0,2305.0,13056.0,3812.0,20311.0,21039.0,2015-03-02,18:00:00,2.6
2015-03-03,06 - 07,1150.0,2231.0,11678.0,3434.0,18493.0,19137.0,2015-03-03,06:00:00,1.7
2015-03-03,18 - 19,1279.0,2394.0,13191.0,3863.0,20727.0,21630.0,2015-03-03,18:00:00,1.1
2015-03-04,06 - 07,1103.0,2371.0,12107.0,3433.0,19015.0,19430.0,2015-03-04,06:00:00,0.5
2015-03-04,18 - 19,1324.0,2408.0,13502.0,3773.0,21007.0,20657.0,2015-03-04,18:00:00,1.8
2015-03-05,06 - 07,1184.0,2304.0,12623.0,3527.0,19638.0,19668.0,2015-03-05,06:00:00,-1.3
2015-03-05,18 - 19,1117.0,2032.0,12749.0,3616.0,19515.0,20264.0,2015-03-05,18:00:00,3.4
2015-03-06,06 - 07,1076.0,2177.0,11670.0,3166.0,18089.0,18652.0,2015-03-06,06:00:00,1.9
2015-03-06,18 - 19,1028.0,2353.0,12216.0,3519.0,19116.0,19776.0,2015-03-06,18:00:00,4.5
2015-03-07,06 - 07,1111.0,2011.0,9498.0,2442.0,15062.0,16993.0,2015-03-07,06:00:00,2.7
2015-03-07,18 - 19,1212.0,2325.0,11495.0,3185.0,18216.0,20430.0,2015-03-07,18:00:00,7.3
2015-03-08,06 - 07,1053.0,1773.0,8718.0,2440.0,13983.0,14302.0,2015-03-08,06:00:00,8.6
2015-03-08,18 - 19,1166.0,2019.0,11069.0,3050.0,17304.0,19741.0,2015-03-08,18:00:00,11.3
2015-03-09,06 - 07,1027.0,2106.0,10927.0,3134.0,17194.0,19211.0,2015-03-09,06:00:00,5.7
2015-03-09,18 - 19,1331.0,2420.0,12188.0,3479.0,19417.0,19638.0,2015-03-09,18:00:00,6.6
2015-03-10,06 - 07,1285.0,2196.0,10833.0,3035.0,17349.0,19580.0,2015-03-10,06:00:00,5.2
2015-03-10,18 - 19,1301.0,2377.0,12152.0,3556.0,19386.0,20366.0,2015-03-10,18:00:00,7.7
2015-03-11,06 - 07,1063.0,2251.0,10953.0,3245.0,17511.0,18682.0,2015-03-11,06:00:00,4.3
2015-03-11,18 - 19,1135.0,2202.0,12272.0,3499.0,19109.0,18848.0,2015-03-11,18:00:00,3.6
2015-03-12,06 - 07,1011.0,2051.0,11661.0,3493.0,18217.0,18821.0,2015-03-12,06:00:00,0.4
2015-03-12,18 - 19,1179.0,2258.0,12372.0,3549.0,19358.0,18437.0,2015-03-12,18:00:00,3.8
2015-03-13,06 - 07,1162.0,2124.0,11900.0,3402.0,18587.0,19315.0,2015-03-13,06:00:00,-1.5
2015-03-13,18 - 19,1154.0,2059.0,11844.0,3401.0,18458.0,19875.0,2015-03-13,18:00:00,1.6
2015-03-14,06 - 07,958.0,1857.0,9954.0,2759.0,15527.0,16884.0,2015-03-14,06:00:00,-1.5
2015-03-14,18 - 19,1145.0,2124.0,11332.0,3153.0,17754.0,18891.0,2015-03-14,18:00:00,2.8
2015-03-15,06 - 07,1038.0,1852.0,9510.0,2661.0,15060.0,15738.0,2015-03-15,06:00:00,0.7
2015-03-15,18 - 19,1133.0,1789.0,11178.0,3349.0,17449.0,18182.0,2015-03-15,18:00:00,3.6
2015-03-16,06 - 07,1012.0,2032.0,11247.0,3229.0,17519.0,17972.0,2015-03-16,06:00:00,2.4
2015-03-16,18 - 19,1207.0,2100.0,11890.0,3433.0,18630.0,19721.0,2015-03-16,18:00:00,3.8
2015-03-17,06 - 07,1084.0,2198.0,11228.0,2984.0,17493.0,18892.0,2015-03-17,06:00:00,2.7
2015-03-17,18 - 19,1157.0,2107.0,11666.0,3435.0,18364.0,19952.0,2015-03-17,18:00:00,3.9
2015-03-18,06 - 07,1363.0,2199.0,10990.0,3028.0,17580.0,18389.0,2015-03-18,06:00:00,4.1
2015-03-18,18 - 19,1209.0,2224.0,11837.0,3317.0,18587.0,18772.0,2015-03-18,18:00:00,6.3
2015-03-19,06 - 07,1148.0,2148.0,11393.0,3347.0,18036.0,18890.0,2015-03-19,06:00:00,3.3
2015-03-19,18 - 19,1271.0,2219.0,11550.0,3215.0,18254.0,19688.0,2015-03-19,18:00:00,9.0
2015-03-20,06 - 07,1279.0,2161.0,10741.0,3279.0,17461.0,18470.0,2015-03-20,06:00:00,3.9
2015-03-20,18 - 19,1373.0,2259.0,12162.0,3462.0,19256.0,19557.0,2015-03-20,18:00:00,0.3
2015-03-21,06 - 07,1284.0,2113.0,9625.0,2430.0,15453.0,17182.0,2015-03-21,06:00:00,-1.6
2015-03-21,18 - 19,1315.0,2238.0,11633.0,3446.0,18632.0,18791.0,2015-03-21,18:00:00,-1.2
2015-03-22,06 - 07,1122.0,1974.0,10019.0,2890.0,16004.0,15909.0,2015-03-22,06:00:00,-2.5
2015-03-22,18 - 19,1006.0,2173.0,12601.0,3469.0,19249.0,20505.0,2015-03-22,18:00:00,2.2
2015-03-23,06 - 07,1295.0,1850.0,11564.0,3297.0,18004.0,19685.0,2015-03-23,06:00:00,2.5
2015-03-23,18 - 19,1327.0,1879.0,12611.0,3466.0,19283.0,20656.0,2015-03-23,18:00:00,5.0
2015-03-24,06 - 07,1293.0,2125.0,11096.0,3077.0,17591.0,19064.0,2015-03-24,06:00:00,3.8
2015-03-24,18 - 19,1373.0,2206.0,11721.0,3373.0,18672.0,19138.0,2015-03-24,18:00:00,4.7
2015-03-25,06 - 07,1140.0,1978.0,11198.0,3143.0,17460.0,19200.0,2015-03-25,06:00:00,-1.3
2015-03-25,18 - 19,1413.0,2138.0,12881.0,3516.0,19948.0,19980.0,2015-03-25,18:00:00,-0.1
2015-03-26,06 - 07,1245.0,1966.0,11543.0,3312.0,18066.0,20146.0,2015-03-26,06:00:00,1.4
2015-03-26,18 - 19,1401.0,2237.0,12887.0,3600.0,20126.0,20321.0,2015-03-26,18:00:00,3.0
2015-03-27,06 - 07,1377.0,2274.0,11084.0,3139.0,17874.0,18149.0,2015-03-27,06:00:00,3.9
2015-03-27,18 - 19,1380.0,2317.0,11887.0,3301.0,18884.0,18796.0,2015-03-27,18:00:00,5.5
2015-03-28,06 - 07,1089.0,1848.0,9331.0,2536.0,14804.0,14208.0,2015-03-28,06:00:00,1.8
2015-03-28,18 - 19,1338.0,1638.0,10479.0,2870.0,16325.0,17748.0,2015-03-28,18:00:00,3.3
2015-03-29,06 - 07,1099.0,1734.0,9028.0,2384.0,14245.0,15023.0,2015-03-29,06:00:00,3.6
2015-03-29,18 - 19,1207.0,2131.0,10888.0,2790.0,17015.0,17355.0,2015-03-29,18:00:00,4.1
2015-03-30,06 - 07,1389.0,2212.0,10633.0,2872.0,17106.0,17561.0,2015-03-30,06:00:00,4.1
2015-03-30,18 - 19,1152.0,2113.0,11694.0,3231.0,18189.0,18233.0,2015-03-30,18:00:00,1.6
2015-03-31,06 - 07,1244.0,2186.0,11221.0,3310.0,17961.0,18475.0,2015-03-31,06:00:00,1.4
2015-03-31,18 - 19,1259.0,2081.0,11165.0,3684.0,18189.0,17649.0,2015-03-31,18:00:00,3.8
2015-04-01,06 - 07,1119.0,2218.0,10887.0,3201.0,17424.0,18564.0,2015-04-01,06:00:00,1.9
2015-04-01,18 - 19,1143.0,2188.0,10970.0,3255.0,17556.0,18085.0,2015-04-01,18:00:00,2.9
2015-04-02,06 - 07,1272.0,2031.0,11160.0,3305.0,17768.0,19412.0,2015-04-02,06:00:00,-0.4
2015-04-02,18 - 19,1215.0,2089.0,10791.0,3290.0,17384.0,18025.0,2015-04-02,18:00:00,4.6
2015-04-03,06 - 07,1045.0,1843.0,9323.0,2556.0,14767.0,17572.0,2015-04-03,06:00:00,2.0
2015-04-03,18 - 19,1204.0,1958.0,9734.0,2664.0,15560.0,17636.0,2015-04-03,18:00:00,4.4
2015-04-04,06 - 07,1091.0,1888.0,8765.0,2470.0,14213.0,16431.0,2015-04-04,06:00:00,1.7
2015-04-04,18 - 19,1091.0,1985.0,9363.0,2583.0,15021.0,16410.0,2015-04-04,18:00:00,3.6
2015-04-05,06 - 07,1017.0,1736.0,8868.0,2431.0,14052.0,15068.0,2015-04-05,06:00:00,1.1
2015-04-05,18 - 19,1063.0,1866.0,9530.0,2477.0,14936.0,16584.0,2015-04-05,18:00:00,3.4
2015-04-06,06 - 07,1085.0,1760.0,9259.0,2581.0,14686.0,15964.0,2015-04-06,06:00:00,1.7
2015-04-06,18 - 19,1096.0,2051.0,9511.0,2580.0,15238.0,18285.0,2015-04-06,18:00:00,6.6
2015-04-07,06 - 07,1185.0,1916.0,10215.0,2962.0,16279.0,19608.0,2015-04-07,06:00:00,4.9
2015-04-07,18 - 19,1115.0,1938.0,10271.0,3051.0,16375.0,18791.0,2015-04-07,18:00:00,12.0
2015-04-08,06 - 07,1123.0,2015.0,9955.0,2796.0,15889.0,19333.0,2015-04-08,06:00:00,7.6
2015-04-08,18 - 19,1120.0,2003.0,10407.0,2976.0,16504.0,19312.0,2015-04-08,18:00:00,8.4
2015-04-09,06 - 07,1061.0,1820.0,10039.0,2866.0,15787.0,20967.0,2015-04-09,06:00:00,7.1
2015-04-09,18 - 19,1406.0,2165.0,10140.0,2895.0,16605.0,19814.0,2015-04-09,18:00:00,10.5
2015-04-10,06 - 07,1206.0,1659.0,9866.0,2942.0,15673.0,19970.0,2015-04-10,06:00:00,5.3
2015-04-10,18 - 19,1146.0,1886.0,9989.0,2718.0,15739.0,19390.0,2015-04-10,18:00:00,10.2
2015-04-11,06 - 07,1033.0,1799.0,8587.0,2228.0,13647.0,14469.0,2015-04-11,06:00:00,4.1
2015-04-11,18 - 19,1088.0,1815.0,9108.0,2392.0,14403.0,14040.0,2015-04-11,18:00:00,10.1
2015-04-12,06 - 07,903.0,1744.0,7965.0,2176.0,12789.0,13491.0,2015-04-12,06:00:00,7.2
2015-04-12,18 - 19,1133.0,1909.0,9954.0,2826.0,15823.0,16904.0,2015-04-12,18:00:00,8.6
2015-04-13,06 - 07,948.0,1796.0,9902.0,2817.0,15463.0,18976.0,2015-04-13,06:00:00,4.6
2015-04-13,18 - 19,1159.0,1856.0,10538.0,2950.0,16502.0,18414.0,2015-04-13,18:00:00,8.7
2015-04-14,06 - 07,925.0,2073.0,10829.0,2929.0,16756.0,18910.0,2015-04-14,06:00:00,3.1
2015-04-14,18 - 19,1034.0,2008.0,11423.0,3206.0,17672.0,18625.0,2015-04-14,18:00:00,4.3
2015-04-15,06 - 07,1133.0,2021.0,10639.0,2909.0,16701.0,18286.0,2015-04-15,06:00:00,4.6
2015-04-15,18 - 19,1185.0,1901.0,10834.0,2974.0,16894.0,17416.0,2015-04-15,18:00:00,7.4
2015-04-16,06 - 07,1061.0,1749.0,10507.0,2925.0,16241.0,18348.0,2015-04-16,06:00:00,4.8
2015-04-16,18 - 19,1269.0,2008.0,10498.0,2888.0,16662.0,17089.0,2015-04-16,18:00:00,6.7
2015-04-17,06 - 07,1117.0,1915.0,10530.0,2903.0,16465.0,19072.0,2015-04-17,06:00:00,2.6
2015-04-17,18 - 19,1015.0,1825.0,10310.0,2979.0,16128.0,16998.0,2015-04-17,18:00:00,3.8
2015-04-18,06 - 07,956.0,1554.0,9142.0,2304.0,13956.0,16851.0,2015-04-18,06:00:00,3.5
2015-04-18,18 - 19,1001.0,2159.0,9369.0,2399.0,14928.0,16961.0,2015-04-18,18:00:00,6.7
2015-04-19,06 - 07,880.0,1620.0,7971.0,2105.0,12576.0,15356.0,2015-04-19,06:00:00,6.0
2015-04-19,18 - 19,938.0,1750.0,8848.0,2419.0,13955.0,17868.0,2015-04-19,18:00:00,13.3
2015-04-20,06 - 07,1133.0,1722.0,9528.0,2717.0,15100.0,18264.0,2015-04-20,06:00:00,7.9
2015-04-20,18 - 19,1012.0,1562.0,9553.0,2711.0,14838.0,17246.0,2015-04-20,18:00:00,13.6
2015-04-21,06 - 07,939.0,1765.0,9117.0,2480.0,14301.0,17036.0,2015-04-21,06:00:00,7.1
2015-04-21,18 - 19,968.0,1496.0,9560.0,2682.0,14705.0,15663.0,2015-04-21,18:00:00,9.6
2015-04-22,06 - 07,896.0,1590.0,9685.0,2789.0,14960.0,18003.0,2015-04-22,06:00:00,6.9
2015-04-22,18 - 19,1135.0,1808.0,9602.0,2669.0,15214.0,17878.0,2015-04-22,18:00:00,10.9
2015-04-23,06 - 07,1018.0,1907.0,9212.0,2628.0,14764.0,19196.0,2015-04-23,06:00:00,10.3
2015-04-23,18 - 19,1039.0,1776.0,9620.0,2689.0,15124.0,18583.0,2015-04-23,18:00:00,9.6
2015-04-24,06 - 07,1006.0,1960.0,9365.0,2663.0,14994.0,18392.0,2015-04-24,06:00:00,5.8
2015-04-24,18 - 19,1057.0,1768.0,9763.0,2739.0,15326.0,17858.0,2015-04-24,18:00:00,9.8
2015-04-25,06 - 07,907.0,1518.0,7821.0,1964.0,12211.0,15819.0,2015-04-25,06:00:00,7.8
